0, 0, Header, 1, 10, 120
1, 0, Start_track
1, 0, Sequencer_specific, 3, 0, 0, 65
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 555555
1, 0, Marker_t, "Seq-1"
1, 0, Marker_t, "Piano"
1, 0, Marker_t, "Piano"
1, 0, Marker_t, "Brahms Sonata No.1 for Violin and Piano in G major Op78"
1, 0, Marker_t, "Vivace ma non troppo"
1, 0, Marker_t, "Recorded by Dr. Chew"
1, 0, Marker_t, "Creative Labs. Inc"
1, 0, Marker_t, "Brahms Sonata No.1 for Violin and Piano in G major Op78"
1, 0, Marker_t, "Vivace ma non troppo"
1, 0, Marker_t, "Recorded by Dr. Chew"
1, 0, Marker_t, "Creative Labs. Inc"
1, 0, Marker_t, "Brahms Sonata No.1 for Violin and Piano in G major Op78"
1, 0, Marker_t, "Vivace ma non troppo"
1, 0, Marker_t, "Recorded by Dr. Chew"
1, 0, Marker_t, "Creative Labs. Inc"
1, 0, Marker_t, "Brahms Sonata No.1 for Violin and Piano in G major Op78"
1, 0, Marker_t, "Vivace ma non troppo"
1, 0, Marker_t, "Recorded by Dr. Chew"
1, 0, Marker_t, "Creative Labs Inc. (c) 1992"
1, 0, Marker_t, ""
1, 22320, Tempo, 571428
1, 22678, Tempo, 571428
1, 22686, Tempo, 576923
1, 22700, Tempo, 588235
1, 22728, Tempo, 600000
1, 22764, Tempo, 606060
1, 22776, Tempo, 612244
1, 22800, Tempo, 625000
1, 22828, Tempo, 638297
1, 22872, Tempo, 652173
1, 22908, Tempo, 666666
1, 22924, Tempo, 674157
1, 22936, Tempo, 681818
1, 22968, Tempo, 689655
1, 22980, Tempo, 697674
1, 23008, Tempo, 705882
1, 23014, Tempo, 714285
1, 23036, Tempo, 731707
1, 23042, Tempo, 659340
1, 23044, Tempo, 645161
1, 23044, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "Piano               "
2, 0, Program_c, 0, 1
2, 0, Control_c, 0, 7, 120
2, 0, Control_c, 0, 10, 60
2, 360, Control_c, 0, 1, 0
2, 360, Control_c, 0, 93, 30
2, 360, Control_c, 0, 91, 60
