0, 0, Header, 1, 12, 480
1, 0, Start_track
1, 0, Tempo, 185089
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 233280, Tempo, 181761
1, 237542, Tempo, 428545
1, 237600, Time_signature, 2, 2, 24, 8
1, 273144, Tempo, 433409
1, 273168, Tempo, 438273
1, 273192, Tempo, 443393
1, 273216, Tempo, 448769
1, 273240, Tempo, 454145
1, 273264, Tempo, 459521
1, 273288, Tempo, 465153
1, 273312, Tempo, 471041
1, 273336, Tempo, 476929
1, 273360, Tempo, 483073
1, 273384, Tempo, 489217
1, 273408, Tempo, 495617
1, 273432, Tempo, 502273
1, 273456, Tempo, 508929
1, 273480, Tempo, 516097
1, 273504, Tempo, 523009
1, 273528, Tempo, 530433
1, 273552, Tempo, 537857
1, 273576, Tempo, 545793
1, 273600, Tempo, 553729
1, 273624, Tempo, 561921
1, 273648, Tempo, 570369
1, 273672, Tempo, 579073
1, 273696, Tempo, 588033
1, 273720, Tempo, 597249
1, 273744, Tempo, 606977
1, 273768, Tempo, 616705
1, 273792, Tempo, 626945
1, 273816, Tempo, 637441
1, 273840, Tempo, 648449
1, 273864, Tempo, 659713
1, 273888, Tempo, 671489
1, 273912, Tempo, 683521
1, 273936, Tempo, 696065
1, 273960, Tempo, 709121
1, 273984, Tempo, 722689
1, 274008, Tempo, 736769
1, 274032, Tempo, 751361
1, 274056, Tempo, 766465
1, 274080, Tempo, 782337
1, 274104, Tempo, 798721
1, 274128, Tempo, 816129
1, 274152, Tempo, 834049
1, 274176, Tempo, 852737
1, 274200, Tempo, 872449
1, 274224, Tempo, 892929
1, 274248, Tempo, 914433
1, 274272, Tempo, 937217
1, 274296, Tempo, 960769
1, 274320, Tempo, 985857
1, 274344, Tempo, 1012225
1, 274368, Tempo, 1039873
1, 274392, Tempo, 1069313
1, 274416, Tempo, 1100289
1, 274440, Tempo, 1133313
1, 274464, Tempo, 1168129
1, 274488, Tempo, 1205249
1, 274512, Tempo, 1244929
1, 274536, Tempo, 1287169
1, 274560, Tempo, 1333249
1, 274792, Tempo, 800001
1, 276960, Tempo, 185089
1, 276960, Time_signature, 3, 2, 24, 8
1, 510240, Tempo, 181761
1, 514502, Tempo, 428545
1, 514560, Time_signature, 2, 2, 24, 8
1, 550104, Tempo, 433409
1, 550128, Tempo, 438273
1, 550152, Tempo, 443393
1, 550176, Tempo, 448769
1, 550200, Tempo, 454145
1, 550224, Tempo, 459521
1, 550248, Tempo, 465153
1, 550272, Tempo, 471041
1, 550296, Tempo, 476929
1, 550320, Tempo, 483073
1, 550344, Tempo, 489217
1, 550368, Tempo, 495617
1, 550392, Tempo, 502273
1, 550416, Tempo, 508929
1, 550440, Tempo, 516097
1, 550464, Tempo, 523009
1, 550488, Tempo, 530433
1, 550512, Tempo, 537857
1, 550536, Tempo, 545793
1, 550560, Tempo, 553729
1, 550584, Tempo, 561921
1, 550608, Tempo, 570369
1, 550632, Tempo, 579073
1, 550656, Tempo, 588033
1, 550680, Tempo, 597249
1, 550704, Tempo, 606977
1, 550728, Tempo, 616705
1, 550752, Tempo, 626945
1, 550776, Tempo, 637441
1, 550800, Tempo, 648449
1, 550824, Tempo, 659713
1, 550848, Tempo, 671489
1, 550872, Tempo, 683521
1, 550896, Tempo, 696065
1, 550920, Tempo, 709121
1, 550944, Tempo, 722689
1, 550968, Tempo, 736769
1, 550992, Tempo, 751361
1, 551016, Tempo, 766465
1, 551040, Tempo, 782337
1, 551064, Tempo, 798721
1, 551088, Tempo, 816129
1, 551112, Tempo, 834049
1, 551136, Tempo, 852737
1, 551160, Tempo, 872449
1, 551184, Tempo, 892929
1, 551208, Tempo, 914433
1, 551232, Tempo, 937217
1, 551256, Tempo, 960769
1, 551280, Tempo, 985857
1, 551304, Tempo, 1012225
1, 551328, Tempo, 1039873
1, 551352, Tempo, 1069313
1, 551376, Tempo, 1100289
1, 551400, Tempo, 1133313
1, 551424, Tempo, 1168129
1, 551448, Tempo, 1205249
1, 551472, Tempo, 1244929
1, 551496, Tempo, 1287169
1, 551520, Tempo, 1333249
1, 551752, Tempo, 800001
1, 553920, Tempo, 185089
1, 553920, Time_signature, 3, 2, 24, 8
1, 574932, Tempo, 185857
1, 574956, Tempo, 186369
1, 574980, Tempo, 187137
1, 575004, Tempo, 187905
1, 575028, Tempo, 188673
1, 575052, Tempo, 189185
1, 575076, Tempo, 189953
1, 575100, Tempo, 190721
1, 575124, Tempo, 191489
1, 575148, Tempo, 192257
1, 575172, Tempo, 193025
1, 575196, Tempo, 193793
1, 575220, Tempo, 194305
1, 575244, Tempo, 195073
1, 575268, Tempo, 195841
1, 575292, Tempo, 196609
1, 575316, Tempo, 197377
1, 575340, Tempo, 198401
1, 575364, Tempo, 199169
1, 575388, Tempo, 199937
1, 576976, Tempo, 249857
1, 579840, Tempo, 192257
1, 598032, Tempo, 199937
1, 598056, Tempo, 199681
1, 598080, Tempo, 199169
1, 598104, Tempo, 198913
1, 598128, Tempo, 198657
1, 598152, Tempo, 198401
1, 598176, Tempo, 198145
1, 598200, Tempo, 197889
1, 598224, Tempo, 197633
1, 598248, Tempo, 197121
1, 598272, Tempo, 196865
1, 598296, Tempo, 196609
1, 598320, Tempo, 196353
1, 598344, Tempo, 196097
1, 598368, Tempo, 195841
1, 598392, Tempo, 195585
1, 598416, Tempo, 195329
1, 598440, Tempo, 194817
1, 598464, Tempo, 194561
1, 598488, Tempo, 194305
1, 598512, Tempo, 194049
1, 598536, Tempo, 193793
1, 598560, Tempo, 193537
1, 598584, Tempo, 193281
1, 598608, Tempo, 193025
1, 598632, Tempo, 192769
1, 598656, Tempo, 192513
1, 598680, Tempo, 192001
1, 598704, Tempo, 191745
1, 598728, Tempo, 191489
1, 598752, Tempo, 191233
1, 598776, Tempo, 190977
1, 598800, Tempo, 190721
1, 598824, Tempo, 190465
1, 598848, Tempo, 190209
1, 598872, Tempo, 189953
1, 598896, Tempo, 189697
