0, 0, Header, 1, 17, 96
1, 0, Start_track
1, 0, Tempo, 344827
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -1, "minor"
1, 0, Title_t, "[SC55]\214ð\213¿\213È\221æ\202X\224Ô\203j\222Z\222²\221æ\223ñ\212y\217Í Beethoven       by \222\217"
1, 0, Text_t, "CVS Ver5.05 Created"
1, 0, Text_t, "Beethoven"
1, 0, Text_t, "Symphonie 9 d moll op.125"
1, 0, Text_t, "II Molto vivace"
1, 0, Text_t, "----------------------------"
1, 0, Text_t, "Timebase:96"
1, 0, Text_t, "\202µ\202©\202µ\211¹\220\224\202ª\221½\202¢...."
1, 0, Text_t, "----------------------------"
1, 0, Text_t, "by \222\217"
1, 0, Text_t, "NIFTY-Serve ID : NCA01761"
1, 0, Text_t, "PC-VAN      ID : KEG99309"
1, 16, Tempo, 689655
1, 192, Time_signature, 4, 2, 24, 8
1, 192, Tempo, 344827
1, 336, Tempo, 504201
1, 480, Tempo, 344827
1, 624, Tempo, 504201
1, 768, Tempo, 363636
1, 912, Tempo, 357142
1, 1056, Tempo, 491803
1, 1200, Tempo, 555555
1, 1344, Tempo, 368098
1, 1488, Tempo, 363636
1, 1632, Tempo, 350877
1, 1776, Tempo, 357142
1, 1920, Tempo, 368098
1, 2064, Tempo, 363636
1, 2208, Tempo, 350877
1, 2352, Tempo, 357142
1, 2496, Tempo, 368098
1, 2640, Tempo, 363636
1, 2784, Tempo, 350877
1, 2928, Tempo, 357142
1, 3072, Tempo, 368098
1, 3216, Tempo, 363636
1, 3360, Tempo, 350877
1, 3504, Tempo, 357142
1, 3648, Tempo, 368098
1, 3792, Tempo, 363636
1, 3936, Tempo, 350877
1, 4080, Tempo, 357142
1, 5808, Tempo, 368098
1, 5952, Tempo, 357142
1, 7104, Tempo, 350877
1, 7680, Tempo, 344827
1, 8112, Tempo, 340909
1, 8256, Tempo, 368098
1, 8400, Tempo, 357142
1, 8544, Tempo, 350877
1, 8688, Tempo, 357142
1, 8832, Tempo, 368098
1, 8976, Tempo, 357142
1, 9120, Tempo, 350877
1, 9264, Tempo, 357142
1, 9408, Tempo, 368098
1, 9552, Tempo, 357142
1, 9696, Tempo, 350877
1, 9840, Tempo, 357142
1, 9984, Tempo, 368098
1, 10128, Tempo, 357142
1, 10272, Tempo, 350877
1, 10416, Tempo, 357142
1, 10560, Tempo, 368098
1, 10704, Tempo, 357142
1, 10848, Tempo, 350877
1, 10992, Tempo, 368098
1, 11136, Tempo, 375000
1, 11280, Tempo, 368098
1, 11424, Tempo, 363636
1, 11568, Tempo, 357142
1, 11712, Tempo, 350877
1, 11856, Tempo, 357142
1, 12000, Tempo, 363636
1, 12144, Tempo, 368098
1, 12288, Tempo, 375000
1, 12432, Tempo, 368098
1, 12576, Tempo, 363636
1, 12720, Tempo, 357142
1, 12864, Tempo, 350877
1, 13008, Tempo, 357142
1, 13152, Tempo, 363636
1, 13296, Tempo, 368098
1, 13584, Tempo, 357142
1, 14016, Tempo, 368098
1, 14160, Tempo, 357142
1, 14592, Tempo, 368098
1, 14736, Tempo, 357142
1, 15168, Tempo, 368098
1, 15312, Tempo, 357142
1, 15744, Tempo, 368098
1, 15888, Tempo, 350877
1, 16032, Tempo, 368098
1, 16176, Tempo, 350877
1, 16320, Tempo, 368098
1, 16464, Tempo, 350877
1, 16608, Tempo, 368098
1, 16752, Tempo, 350877
1, 16896, Tempo, 375000
1, 17011, Tempo, 368098
1, 17126, Tempo, 363636
1, 17241, Tempo, 357142
1, 17356, Tempo, 350877
1, 17471, Tempo, 344827
1, 17472, Tempo, 350877
1, 17616, Tempo, 368098
1, 17904, Tempo, 363636
1, 18048, Tempo, 357142
1, 18192, Tempo, 350877
1, 18336, Tempo, 357142
1, 19632, Tempo, 368098
1, 19776, Tempo, 357142
1, 19920, Tempo, 368098
1, 20064, Tempo, 344827
1, 20352, Tempo, 363636
1, 20640, Tempo, 357142
1, 21216, Tempo, 444444
1, 21792, Time_signature, 12, 3, 24, 8
1, 21792, Tempo, 368098
1, 21936, Tempo, 363636
1, 22080, Tempo, 350877
1, 22224, Tempo, 357142
1, 22368, Tempo, 368098
1, 22512, Tempo, 363636
1, 22656, Tempo, 350877
1, 22800, Tempo, 357142
1, 22944, Tempo, 368098
1, 23088, Tempo, 363636
1, 23232, Tempo, 350877
1, 23376, Tempo, 357142
1, 23520, Tempo, 368098
1, 23664, Tempo, 363636
1, 23808, Tempo, 350877
1, 23952, Tempo, 357142
1, 24096, Tempo, 368098
1, 24240, Tempo, 363636
1, 24384, Tempo, 350877
1, 24528, Tempo, 357142
1, 26256, Tempo, 368098
1, 26400, Tempo, 357142
1, 27552, Tempo, 350877
1, 28128, Tempo, 344827
1, 28560, Tempo, 340909
1, 28704, Tempo, 368098
1, 28848, Tempo, 357142
1, 28992, Tempo, 350877
1, 29136, Tempo, 357142
1, 29280, Tempo, 368098
1, 29424, Tempo, 357142
1, 29568, Tempo, 350877
1, 29712, Tempo, 357142
1, 29856, Tempo, 368098
1, 30000, Tempo, 357142
1, 30144, Tempo, 350877
1, 30288, Tempo, 357142
1, 30432, Tempo, 368098
1, 30576, Tempo, 357142
1, 30720, Tempo, 350877
1, 30864, Tempo, 357142
1, 31008, Tempo, 368098
1, 31152, Tempo, 357142
1, 31296, Tempo, 350877
1, 31440, Tempo, 368098
1, 31584, Tempo, 375000
1, 31728, Tempo, 368098
1, 31872, Tempo, 363636
1, 32016, Tempo, 357142
1, 32160, Tempo, 350877
1, 32304, Tempo, 357142
1, 32448, Tempo, 363636
1, 32592, Tempo, 368098
1, 32736, Tempo, 375000
1, 32880, Tempo, 368098
1, 33024, Tempo, 363636
1, 33168, Tempo, 357142
1, 33312, Tempo, 350877
1, 33456, Tempo, 357142
1, 33600, Tempo, 363636
1, 33744, Tempo, 368098
1, 34032, Tempo, 357142
1, 34464, Tempo, 368098
1, 34608, Tempo, 357142
1, 35040, Tempo, 368098
1, 35184, Tempo, 357142
1, 35616, Tempo, 368098
1, 35760, Tempo, 357142
1, 36192, Tempo, 368098
1, 36336, Tempo, 350877
1, 36480, Tempo, 368098
1, 36624, Tempo, 350877
1, 36768, Tempo, 368098
1, 36912, Tempo, 350877
1, 37056, Tempo, 368098
1, 37200, Tempo, 350877
1, 37344, Tempo, 375000
1, 37459, Tempo, 368098
1, 37574, Tempo, 363636
1, 37689, Tempo, 357142
1, 37804, Tempo, 350877
1, 37919, Tempo, 344827
1, 37920, Tempo, 350877
1, 38064, Tempo, 368098
1, 38352, Tempo, 363636
1, 38496, Tempo, 357142
1, 38640, Tempo, 350877
1, 38784, Tempo, 357142
1, 40080, Tempo, 368098
1, 40224, Tempo, 357142
1, 40368, Tempo, 368098
1, 40512, Tempo, 344827
1, 40800, Tempo, 363636
1, 41088, Tempo, 357142
1, 41664, Tempo, 444444
1, 42240, Tempo, 357142
1, 42816, Tempo, 444444
1, 43392, Tempo, 357142
1, 43968, Tempo, 350877
1, 44544, Tempo, 344827
1, 45120, Tempo, 340909
1, 45408, Tempo, 344827
1, 45696, Tempo, 357142
1, 45936, Tempo, 2222222
1, 46008, Tempo, 7500000
1, 46032, Tempo, 368098
1, 46176, Tempo, 357142
1, 46320, Tempo, 363636
1, 46464, Tempo, 368098
1, 46608, Tempo, 357142
1, 46752, Tempo, 363636
1, 46896, Tempo, 368098
1, 47040, Tempo, 357142
1, 47184, Tempo, 363636
1, 47328, Tempo, 368098
1, 47472, Tempo, 357142
1, 47616, Tempo, 363636
1, 48192, Tempo, 368098
1, 48336, Tempo, 357142
1, 48480, Tempo, 363636
1, 48624, Tempo, 382165
1, 48768, Tempo, 357142
1, 49056, Tempo, 382165
1, 49200, Tempo, 357142
1, 49488, Tempo, 382165
1, 49632, Tempo, 357142
1, 49920, Tempo, 382165
1, 50064, Tempo, 357142
1, 50496, Tempo, 368098
1, 50640, Tempo, 357142
1, 50784, Tempo, 363636
1, 51216, Tempo, 350877
1, 51648, Tempo, 363636
1, 52080, Tempo, 350877
1, 52512, Tempo, 363636
1, 52944, Tempo, 357142
1, 56256, Tempo, 368098
1, 56400, Tempo, 363636
1, 56544, Tempo, 357142
1, 56688, Tempo, 350877
1, 56832, Tempo, 357142
1, 57408, Tempo, 368098
1, 57552, Tempo, 363636
1, 57696, Tempo, 357142
1, 57840, Tempo, 350877
1, 57984, Tempo, 357142
1, 59136, Tempo, 363636
1, 59712, Tempo, 368098
1, 59856, Tempo, 350877
1, 60000, Tempo, 344827
1, 60144, Tempo, 350877
1, 60288, Tempo, 357142
1, 60432, Tempo, 350877
1, 60576, Tempo, 344827
1, 60720, Tempo, 350877
1, 60864, Tempo, 357142
1, 61008, Tempo, 350877
1, 61152, Tempo, 344827
1, 61296, Tempo, 350877
1, 62016, Tempo, 357142
1, 62592, Tempo, 350877
1, 62880, Tempo, 344827
1, 63168, Tempo, 375000
1, 63312, Tempo, 368098
1, 63456, Tempo, 363636
1, 63600, Tempo, 357142
1, 63744, Tempo, 350877
1, 63888, Tempo, 357142
1, 64032, Tempo, 363636
1, 64176, Tempo, 368098
1, 64320, Tempo, 357142
1, 64608, Tempo, 375000
1, 64752, Tempo, 368098
1, 64896, Tempo, 363636
1, 65040, Tempo, 357142
1, 65184, Tempo, 350877
1, 65328, Tempo, 357142
1, 65472, Tempo, 363636
1, 65616, Tempo, 368098
1, 65760, Tempo, 375000
1, 65904, Tempo, 368098
1, 66048, Tempo, 363636
1, 66192, Tempo, 357142
1, 66336, Tempo, 350877
1, 66480, Tempo, 357142
1, 66624, Tempo, 363636
1, 66768, Tempo, 368098
1, 66912, Tempo, 375000
1, 67056, Tempo, 368098
1, 67200, Tempo, 363636
1, 67344, Tempo, 357142
1, 67488, Tempo, 350877
1, 67632, Tempo, 357142
1, 67776, Tempo, 363636
1, 67920, Tempo, 357142
1, 68064, Tempo, 368098
1, 68208, Tempo, 357142
1, 68640, Tempo, 368098
1, 68784, Tempo, 357142
1, 69216, Tempo, 368098
1, 69360, Tempo, 357142
1, 69792, Tempo, 368098
1, 69936, Tempo, 357142
1, 70368, Tempo, 368098
1, 70512, Tempo, 357142
1, 70656, Tempo, 368098
1, 70800, Tempo, 357142
