0, 0, Header, 1, 30, 120
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 659340
1, 0, Marker_t, "Allegro"
1, 1800, Tempo, 666666
1, 1920, Marker_t, "Antonio Vivaldi's Four Seasons"
1, 3360, Tempo, 659340
1, 4800, Tempo, 674157
1, 4920, Tempo, 666666
1, 6600, Tempo, 659340
1, 8640, Marker_t, "Spring; Allegro"
1, 12480, Marker_t, "Opus 8, No. 1"
1, 12840, Tempo, 666666
1, 12960, Tempo, 674157
1, 13080, Tempo, 674157
1, 13200, Tempo, 681818
1, 13440, Tempo, 659340
1, 14760, Tempo, 666666
1, 14780, Tempo, 681818
1, 14790, Tempo, 681818
1, 14940, Tempo, 674157
1, 16320, Marker_t, "This Midi File Copyright (C) 1996 by Neil B. Sheldon Sr."
1, 19440, Tempo, 740740
1, 19560, Tempo, 779220
1, 19580, Tempo, 659340
1, 28350, Tempo, 681818
1, 31680, Tempo, 659340
1, 34320, Tempo, 666666
1, 34800, Tempo, 674157
1, 35040, Tempo, 681818
1, 35670, Tempo, 714285
1, 35760, Tempo, 659340
1, 39360, Time_signature, 6, 2, 24, 8
1, 39600, Tempo, 1090909
1, 39600, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "Violin Solo"
2, 0, Program_c, 0, 40
2, 0, Control_c, 0, 7, 105
2, 0, Control_c, 0, 10, 64
2, 0, Control_c, 0, 93, 0
2, 0, Control_c, 0, 91, 120
2, 1, Text_t, "Non Registered Parameter Numbers"
2, 1, Text_t, "For Roland SC-55 Vibrato"
2, 1, Text_t, "Set up NRPN for Vibrate Rate"
2, 2, Control_c, 0, 99, 1
2, 3, Control_c, 0, 98, 8
2, 4, Text_t, "Data Entry Command"
2, 4, Control_c, 0, 6, 68
2, 5, Text_t, "Set up NRPN for Vibrate Delay"
2, 6, Control_c, 0, 99, 1
2, 7, Control_c, 0, 98, 10
2, 8, Text_t, "Data Entry Command"
2, 8, Control_c, 0, 6, 14
2, 9, Text_t, "Set up NRPN for Vibrate Depth"
2, 10, Control_c, 0, 99, 1
2, 11, Control_c, 0, 98, 9
2, 12, Text_t, "Data Entry Command; Vibrato ON"
2, 12, Control_c, 0, 6, 64
2, 13, Pitch_bend_c, 0, 8192
2, 420, Note_on_c, 0, 76, 84
2, 470, Note_on_c, 0, 76, 0
2, 480, Note_on_c, 0, 80, 84
2, 535, Note_on_c, 0, 80, 0
2, 540, Note_on_c, 0, 80, 84
2, 595, Note_on_c, 0, 80, 0
2, 600, Note_on_c, 0, 80, 84
2, 655, Note_on_c, 0, 80, 0
2, 660, Note_on_c, 0, 78, 84
2, 690, Note_on_c, 0, 78, 0
2, 690, Note_on_c, 0, 76, 84
2, 720, Note_on_c, 0, 76, 0
2, 720, Control_c, 0, 6, 70
2, 720, Note_on_c, 0, 83, 84
2, 890, Note_on_c, 0, 83, 0
2, 899, Control_c, 0, 6, 64
2, 900, Note_on_c, 0, 83, 84
2, 930, Note_on_c, 0, 83, 0
2, 930, Note_on_c, 0, 81, 84
2, 955, Note_on_c, 0, 81, 0
2, 960, Note_on_c, 0, 80, 84
2, 1015, Note_on_c, 0, 80, 0
2, 1020, Note_on_c, 0, 80, 84
2, 1075, Note_on_c, 0, 80, 0
2, 1080, Note_on_c, 0, 80, 84
2, 1135, Note_on_c, 0, 80, 0
2, 1140, Note_on_c, 0, 78, 84
2, 1170, Note_on_c, 0, 78, 0
2, 1170, Note_on_c, 0, 76, 84
2, 1200, Note_on_c, 0, 76, 0
2, 1200, Control_c, 0, 6, 70
2, 1200, Note_on_c, 0, 83, 84
2, 1370, Note_on_c, 0, 83, 0
2, 1379, Control_c, 0, 6, 64
2, 1380, Note_on_c, 0, 83, 84
2, 1410, Note_on_c, 0, 83, 0
2, 1410, Note_on_c, 0, 81, 84
2, 1435, Note_on_c, 0, 81, 0
2, 1440, Note_on_c, 0, 80, 84
2, 1495, Note_on_c, 0, 80, 0
2, 1500, Note_on_c, 0, 81, 84
2, 1530, Note_on_c, 0, 81, 0
2, 1530, Note_on_c, 0, 83, 84
2, 1555, Note_on_c, 0, 83, 0
2, 1560, Note_on_c, 0, 81, 84
2, 1615, Note_on_c, 0, 81, 0
2, 1620, Note_on_c, 0, 80, 84
2, 1675, Note_on_c, 0, 80, 0
2, 1680, Note_on_c, 0, 78, 84
2, 1735, Note_on_c, 0, 78, 0
2, 1740, Note_on_c, 0, 75, 84
2, 1795, Note_on_c, 0, 75, 0
2, 1800, Note_on_c, 0, 71, 84
2, 1855, Note_on_c, 0, 71, 0
2, 1860, Note_on_c, 0, 76, 65
2, 1910, Note_on_c, 0, 76, 0
2, 1920, Note_on_c, 0, 80, 65
2, 1975, Note_on_c, 0, 80, 0
2, 1980, Note_on_c, 0, 80, 65
2, 2035, Note_on_c, 0, 80, 0
2, 2040, Note_on_c, 0, 80, 65
2, 2095, Note_on_c, 0, 80, 0
2, 2100, Note_on_c, 0, 78, 65
2, 2130, Note_on_c, 0, 78, 0
2, 2130, Note_on_c, 0, 76, 65
2, 2155, Note_on_c, 0, 76, 0
2, 2160, Control_c, 0, 6, 70
2, 2160, Note_on_c, 0, 83, 65
2, 2330, Note_on_c, 0, 83, 0
2, 2339, Control_c, 0, 6, 64
2, 2340, Note_on_c, 0, 83, 65
2, 2365, Note_on_c, 0, 83, 0
2, 2370, Note_on_c, 0, 81, 65
2, 2395, Note_on_c, 0, 81, 0
2, 2400, Note_on_c, 0, 80, 65
2, 2455, Note_on_c, 0, 80, 0
2, 2460, Note_on_c, 0, 80, 65
2, 2515, Note_on_c, 0, 80, 0
2, 2520, Note_on_c, 0, 80, 65
2, 2575, Note_on_c, 0, 80, 0
2, 2580, Note_on_c, 0, 78, 65
2, 2610, Note_on_c, 0, 78, 0
2, 2610, Note_on_c, 0, 76, 65
2, 2635, Note_on_c, 0, 76, 0
2, 2640, Control_c, 0, 6, 70
2, 2640, Note_on_c, 0, 83, 65
2, 2810, Note_on_c, 0, 83, 0
2, 2819, Control_c, 0, 6, 64
2, 2820, Note_on_c, 0, 83, 65
2, 2850, Note_on_c, 0, 83, 0
2, 2850, Note_on_c, 0, 81, 65
2, 2875, Note_on_c, 0, 81, 0
2, 2880, Note_on_c, 0, 80, 65
2, 2930, Note_on_c, 0, 80, 0
2, 2940, Note_on_c, 0, 81, 65
2, 2965, Note_on_c, 0, 81, 0
2, 2970, Note_on_c, 0, 83, 65
2, 2995, Note_on_c, 0, 83, 0
2, 3000, Note_on_c, 0, 81, 65
2, 3055, Note_on_c, 0, 81, 0
2, 3060, Note_on_c, 0, 80, 65
2, 3115, Note_on_c, 0, 80, 0
2, 3120, Control_c, 0, 6, 70
2, 3120, Note_on_c, 0, 78, 65
2, 3235, Note_on_c, 0, 78, 0
2, 3299, Control_c, 0, 6, 64
2, 3300, Note_on_c, 0, 76, 84
2, 3350, Note_on_c, 0, 76, 0
2, 3360, Note_on_c, 0, 83, 84
2, 3415, Note_on_c, 0, 83, 0
2, 3420, Note_on_c, 0, 81, 84
2, 3450, Note_on_c, 0, 80, 84
2, 3455, Note_on_c, 0, 81, 0
2, 3475, Note_on_c, 0, 80, 0
2, 3480, Note_on_c, 0, 81, 84
2, 3530, Note_on_c, 0, 81, 0
2, 3540, Note_on_c, 0, 83, 84
2, 3595, Note_on_c, 0, 83, 0
2, 3600, Note_on_c, 0, 85, 84
2, 3655, Note_on_c, 0, 85, 0
2, 3660, Control_c, 0, 6, 70
2, 3660, Note_on_c, 0, 83, 84
2, 3775, Note_on_c, 0, 83, 0
2, 3779, Control_c, 0, 6, 64
2, 3780, Note_on_c, 0, 76, 84
2, 3830, Note_on_c, 0, 76, 0
2, 3840, Note_on_c, 0, 83, 84
2, 3895, Note_on_c, 0, 83, 0
2, 3900, Note_on_c, 0, 81, 84
2, 3930, Note_on_c, 0, 80, 84
2, 3935, Note_on_c, 0, 81, 0
2, 3955, Note_on_c, 0, 80, 0
2, 3960, Note_on_c, 0, 81, 84
2, 4010, Note_on_c, 0, 81, 0
2, 4020, Note_on_c, 0, 83, 84
2, 4075, Note_on_c, 0, 83, 0
2, 4080, Note_on_c, 0, 85, 84
2, 4135, Note_on_c, 0, 85, 0
2, 4140, Control_c, 0, 6, 70
2, 4140, Note_on_c, 0, 83, 84
2, 4255, Note_on_c, 0, 83, 0
2, 4259, Control_c, 0, 6, 64
2, 4260, Note_on_c, 0, 76, 84
2, 4315, Note_on_c, 0, 76, 0
2, 4320, Note_on_c, 0, 85, 84
2, 4375, Note_on_c, 0, 85, 0
2, 4380, Control_c, 0, 6, 70
2, 4380, Note_on_c, 0, 83, 84
2, 4495, Note_on_c, 0, 83, 0
2, 4499, Control_c, 0, 6, 64
