0, 0, Header, 1, 11, 48
1, 0, Start_track
1, 0, Title_t, "WinJammer Demo"
1, 0, Key_signature, 0, "major"
1, 0, MIDI_port, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Tempo, 560747
1, 192, Tempo, 560747
1, 384, Tempo, 560747
1, 576, Tempo, 560747
1, 768, Tempo, 560747
1, 960, Tempo, 560747
1, 1152, Tempo, 560747
1, 1344, Tempo, 560747
1, 1536, Tempo, 560747
1, 1728, Tempo, 560747
1, 1920, Tempo, 560747
1, 2112, Tempo, 560747
1, 2304, Tempo, 560747
1, 2496, Tempo, 560747
1, 2592, Tempo, 600000
1, 2688, Tempo, 600000
1, 2784, Tempo, 600000
1, 2880, Tempo, 600000
1, 2976, Tempo, 600000
1, 3072, Tempo, 600000
1, 3168, Tempo, 600000
1, 3264, Tempo, 600000
1, 3360, Tempo, 600000
1, 3456, Tempo, 600000
1, 3552, Tempo, 600000
1, 3648, Tempo, 600000
1, 3744, Tempo, 600000
1, 3840, Tempo, 600000
1, 3936, Tempo, 600000
1, 4032, Tempo, 600000
1, 4128, Tempo, 600000
1, 4224, Tempo, 600000
1, 4320, Tempo, 600000
1, 4416, Tempo, 600000
1, 4512, Tempo, 600000
1, 4608, Tempo, 600000
1, 4704, Tempo, 600000
1, 4800, Tempo, 600000
1, 4896, Tempo, 600000
1, 4992, Tempo, 600000
1, 5088, Tempo, 600000
1, 5184, Tempo, 600000
1, 5280, Tempo, 600000
1, 5304, Tempo, 722891
1, 5352, Tempo, 560747
1, 5376, Tempo, 560747
1, 5544, Tempo, 560747
1, 5568, Tempo, 560747
1, 5736, Tempo, 560747
1, 5760, Tempo, 560747
1, 5928, Tempo, 560747
1, 5952, Tempo, 722891
1, 5976, Tempo, 560747
1, 6144, Tempo, 560747
1, 6168, Tempo, 560747
1, 6336, Tempo, 560747
1, 6360, Tempo, 560747
1, 6528, Tempo, 560747
1, 6552, Tempo, 560747
1, 6720, Tempo, 560747
1, 6744, Tempo, 560747
1, 6912, Tempo, 560747
1, 6936, Tempo, 560747
1, 7104, Tempo, 560747
1, 7128, Tempo, 560747
1, 7296, Tempo, 560747
1, 7320, Tempo, 560747
1, 7488, Tempo, 560747
1, 7512, Tempo, 560747
1, 7680, Tempo, 560747
1, 7704, Tempo, 560747
1, 7872, Tempo, 560747
1, 7896, Tempo, 560747
1, 8064, Tempo, 560747
1, 8088, Tempo, 560747
1, 8256, Tempo, 560747
1, 8280, Tempo, 560747
1, 8448, Tempo, 560747
1, 8472, Tempo, 560747
1, 8640, Tempo, 560747
1, 8664, Tempo, 560747
1, 8832, Tempo, 560747
1, 8856, Tempo, 560747
1, 9024, Tempo, 560747
1, 9048, Tempo, 560747
1, 9216, Tempo, 560747
1, 9240, Tempo, 560747
1, 9408, Tempo, 560747
1, 9432, Tempo, 560747
1, 9600, Tempo, 560747
1, 9624, Tempo, 560747
1, 9792, Tempo, 560747
1, 9816, Tempo, 560747
1, 9984, Tempo, 560747
1, 10008, Tempo, 560747
1, 10176, Tempo, 560747
1, 10200, Tempo, 560747
1, 10368, Tempo, 560747
1, 10392, Tempo, 560747
1, 10560, Tempo, 560747
1, 10584, Tempo, 560747
1, 10752, Tempo, 560747
1, 10776, Tempo, 560747
1, 10944, Tempo, 560747
1, 10968, Tempo, 560747
1, 11136, Tempo, 560747
1, 11160, Tempo, 560747
1, 11328, Tempo, 600000
1, 11520, Tempo, 631578
1, 11712, Tempo, 612244
1, 11904, Tempo, 612244
1, 12096, Tempo, 612244
1, 12288, Tempo, 612244
1, 12480, Tempo, 612244
1, 12672, Tempo, 582524
1, 12864, Tempo, 582524
1, 13056, Tempo, 582524
1, 13248, Tempo, 582524
1, 13440, Tempo, 625000
1, 13536, Tempo, 659340
1, 13632, Tempo, 659340
1, 13728, Tempo, 659340
1, 13824, Tempo, 659340
1, 13920, Tempo, 659340
1, 14016, Tempo, 659340
1, 14112, Tempo, 659340
1, 14160, Tempo, 722891
1, 14208, Tempo, 800000
1, 14256, Tempo, 909090
1, 14304, Tempo, 625000
1, 14400, Tempo, 625000
1, 14496, Tempo, 722891
1, 14544, Tempo, 909090
1, 14592, Tempo, 560747
1, 14784, Tempo, 560747
1, 14976, Tempo, 560747
1, 15168, Tempo, 560747
1, 15360, Tempo, 560747
1, 15552, Tempo, 560747
1, 15744, Tempo, 560747
1, 15792, Tempo, 722891
1, 15840, Tempo, 800000
1, 15936, Tempo, 800000
1, 16032, Tempo, 800000
1, 16128, Tempo, 800000
1, 16128, End_track
2, 0, Start_track
2, 0, Title_t, "WinJammer Demo"
2, 0, Instrument_name_t, "Keyboard"
2, 0, MIDI_port, 0
2, 0, Control_c, 0, 7, 0
2, 0, Control_c, 0, 10, 64
2, 0, Control_c, 0, 64, 0
2, 0, Control_c, 0, 1, 0
2, 0, Pitch_bend_c, 0, 8192
2, 0, Program_c, 0, 0
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "WinJammer Demo"
3, 0, Instrument_name_t, "Contrabass"
3, 0, MIDI_port, 0
3, 0, Pitch_bend_c, 1, 8192
3, 0, Control_c, 1, 10, 64
3, 0, Control_c, 1, 1, 0
3, 0, Control_c, 1, 64, 0
3, 0, Control_c, 1, 7, 121
3, 0, Control_c, 1, 11, 100
3, 0, Program_c, 1, 43
3, 168, Control_c, 1, 7, 118
3, 168, Note_on_c, 1, 40, 126
3, 171, Control_c, 1, 7, 121
3, 174, Control_c, 1, 7, 123
3, 180, Control_c, 1, 7, 126
3, 188, Note_on_c, 1, 40, 0
3, 192, Control_c, 1, 7, 121
3, 192, Note_on_c, 1, 40, 126
3, 217, Note_on_c, 1, 40, 0
3, 240, Note_on_c, 1, 40, 123
3, 265, Note_on_c, 1, 40, 0
3, 288, Note_on_c, 1, 40, 126
3, 313, Note_on_c, 1, 40, 0
3, 336, Note_on_c, 1, 40, 123
3, 361, Note_on_c, 1, 40, 0
3, 384, Note_on_c, 1, 40, 126
3, 409, Note_on_c, 1, 40, 0
3, 432, Note_on_c, 1, 40, 123
3, 457, Note_on_c, 1, 40, 0
3, 480, Note_on_c, 1, 40, 126
3, 505, Note_on_c, 1, 40, 0
3, 528, Note_on_c, 1, 40, 123
3, 553, Note_on_c, 1, 40, 0
3, 576, Note_on_c, 1, 40, 126
3, 596, Note_on_c, 1, 40, 0
3, 600, Note_on_c, 1, 40, 126
3, 620, Note_on_c, 1, 40, 0
3, 624, Note_on_c, 1, 33, 126
3, 644, Note_on_c, 1, 33, 0
3, 648, Note_on_c, 1, 34, 126
3, 668, Note_on_c, 1, 34, 0
3, 672, Note_on_c, 1, 35, 126
3, 717, Note_on_c, 1, 35, 0
3, 744, Note_on_c, 1, 40, 108
3, 764, Note_on_c, 1, 40, 0
3, 768, Note_on_c, 1, 40, 112
3, 793, Note_on_c, 1, 40, 0
3, 816, Note_on_c, 1, 40, 108
3, 841, Note_on_c, 1, 40, 0
3, 864, Note_on_c, 1, 40, 112
3, 889, Note_on_c, 1, 40, 0
3, 912, Note_on_c, 1, 40, 108
3, 937, Note_on_c, 1, 40, 0
3, 960, Note_on_c, 1, 40, 112
3, 985, Note_on_c, 1, 40, 0
3, 1008, Note_on_c, 1, 40, 108
3, 1033, Note_on_c, 1, 40, 0
3, 1056, Note_on_c, 1, 40, 112
3, 1081, Note_on_c, 1, 40, 0
3, 1104, Note_on_c, 1, 40, 108
3, 1129, Note_on_c, 1, 40, 0
3, 1152, Note_on_c, 1, 40, 112
3, 1172, Note_on_c, 1, 40, 0
3, 1176, Note_on_c, 1, 40, 112
3, 1196, Note_on_c, 1, 40, 0
3, 1200, Note_on_c, 1, 33, 112
3, 1220, Note_on_c, 1, 33, 0
3, 1224, Note_on_c, 1, 34, 112
3, 1244, Note_on_c, 1, 34, 0
3, 1248, Note_on_c, 1, 35, 112
3, 1293, Note_on_c, 1, 35, 0
3, 1320, Note_on_c, 1, 40, 121
3, 1340, Note_on_c, 1, 40, 0
3, 1344, Note_on_c, 1, 40, 123
3, 1369, Note_on_c, 1, 40, 0
3, 1392, Note_on_c, 1, 40, 126
3, 1417, Note_on_c, 1, 40, 0
3, 1440, Note_on_c, 1, 40, 123
3, 1465, Note_on_c, 1, 40, 0
3, 1488, Note_on_c, 1, 40, 126
3, 1513, Note_on_c, 1, 40, 0
3, 1536, Note_on_c, 1, 40, 123
3, 1561, Note_on_c, 1, 40, 0
3, 1584, Note_on_c, 1, 40, 126
3, 1609, Note_on_c, 1, 40, 0
3, 1632, Note_on_c, 1, 40, 123
3, 1657, Note_on_c, 1, 40, 0
3, 1680, Note_on_c, 1, 40, 126
3, 1705, Note_on_c, 1, 40, 0
3, 1728, Note_on_c, 1, 40, 121
3, 1773, Note_on_c, 1, 40, 0
3, 1776, Note_on_c, 1, 40, 121
3, 1794, Note_on_c, 1, 40, 0
3, 1800, Note_on_c, 1, 35, 121
3, 1818, Note_on_c, 1, 35, 0
3, 1824, Note_on_c, 1, 40, 124
3, 1842, Note_on_c, 1, 40, 0
3, 1848, Note_on_c, 1, 28, 121
3, 1866, Note_on_c, 1, 28, 0
3, 1872, Note_on_c, 1, 47, 124
3, 1890, Note_on_c, 1, 47, 0
3, 1896, Note_on_c, 1, 35, 121
3, 1914, Note_on_c, 1, 35, 0
3, 1920, Note_on_c, 1, 28, 121
3, 1950, Note_on_c, 1, 28, 0
3, 1992, Note_on_c, 1, 40, 108
3, 2012, Note_on_c, 1, 40, 0
3, 2016, Note_on_c, 1, 40, 108
3, 2046, Note_on_c, 1, 40, 0
3, 2064, Note_on_c, 1, 40, 108
3, 2094, Note_on_c, 1, 40, 0
3, 2112, Note_on_c, 1, 40, 108
3, 2142, Note_on_c, 1, 40, 0
3, 2160, Note_on_c, 1, 40, 108
3, 2190, Note_on_c, 1, 40, 0
3, 2208, Note_on_c, 1, 40, 108
3, 2238, Note_on_c, 1, 40, 0
3, 2256, Note_on_c, 1, 40, 108
3, 2286, Note_on_c, 1, 40, 0
3, 2304, Note_on_c, 1, 40, 108
3, 2334, Note_on_c, 1, 40, 0
3, 2352, Note_on_c, 1, 40, 108
3, 2382, Note_on_c, 1, 40, 0
3, 2400, Note_on_c, 1, 40, 108
3, 2430, Note_on_c, 1, 40, 0
3, 2448, Note_on_c, 1, 40, 108
3, 2478, Note_on_c, 1, 40, 0
3, 2496, Note_on_c, 1, 40, 108
3, 2514, Note_on_c, 1, 40, 0
3, 2520, Note_on_c, 1, 28, 108
3, 2538, Note_on_c, 1, 28, 0
3, 2544, Note_on_c, 1, 47, 108
3, 2562, Note_on_c, 1, 47, 0
3, 2568, Note_on_c, 1, 35, 108
3, 2586, Note_on_c, 1, 35, 0
3, 2592, Note_on_c, 1, 28, 108
3, 2627, Note_on_c, 1, 28, 0
3, 5352, Control_c, 1, 7, 123
3, 5352, Control_c, 1, 7, 115
3, 5352, Note_on_c, 1, 40, 126
3, 5355, Control_c, 1, 7, 118
3, 5358, Control_c, 1, 7, 121
3, 5364, Control_c, 1, 7, 123
3, 5372, Note_on_c, 1, 40, 0
3, 5376, Note_on_c, 1, 40, 123
3, 5401, Note_on_c, 1, 40, 0
3, 5424, Note_on_c, 1, 40, 126
3, 5449, Note_on_c, 1, 40, 0
3, 5472, Note_on_c, 1, 40, 123
3, 5497, Note_on_c, 1, 40, 0
3, 5520, Note_on_c, 1, 40, 126
