0, 0, Header, 1, 38, 120
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 1578947
1, 0, Marker_t, "From Vivaldi's Four Seasons' Winter Largo"
1, 1, Marker_t, "This Midi File Copyright (C) 1995"
1, 2, Marker_t, "by Neil B. Sheldon Sr."
1, 3, Marker_t, "May be freely distributed for non-commercial/non-monetary interests"
1, 4, Marker_t, "Internet EMail Address neil@netzone.com"
1, 4, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, End_track
3, 0, Start_track
3, 0, MIDI_port, 0
3, 0, Title_t, "Solo Violin"
3, 0, Program_c, 0, 40
3, 0, Control_c, 0, 7, 127
3, 0, Control_c, 0, 10, 64
3, 0, Control_c, 0, 93, 0
3, 0, Control_c, 0, 91, 120
3, 1, Text_t, "Non Registered Parameter Numbers"
3, 1, Text_t, "For Roland SC-55 Vibrato"
3, 1, Text_t, "Set up NRPN for Vibrate Rate"
3, 2, Control_c, 0, 99, 1
3, 3, Control_c, 0, 98, 8
3, 4, Text_t, "Data Entry Command"
3, 4, Text_t, "Slightly fast; not too much"
3, 4, Control_c, 0, 6, 68
3, 5, Text_t, "Set up NRPN for Vibrate Delay"
3, 6, Control_c, 0, 99, 1
3, 7, Control_c, 0, 98, 10
3, 8, Text_t, "Data Entry Command"
3, 8, Text_t, "As little delay as possible"
3, 8, Control_c, 0, 6, 14
3, 9, Text_t, "Set up NRPN for Vibrate Depth"
3, 10, Control_c, 0, 99, 1
3, 11, Control_c, 0, 98, 9
3, 12, Text_t, "Data Entry Command; Vibrato ON"
3, 12, Text_t, "Just enough to be obvious; don't over do it."
3, 12, Control_c, 0, 6, 70
3, 480, Note_on_c, 0, 75, 53
3, 539, Text_t, "Data Entry Command; Vibrato OFF"
3, 539, Text_t, "(for ""all practical purposes"")"
3, 539, Control_c, 0, 6, 64
3, 540, Note_on_c, 0, 75, 0
3, 540, Note_on_c, 0, 82, 57
3, 570, Note_on_c, 0, 82, 0
3, 570, Note_on_c, 0, 80, 55
3, 599, Control_c, 0, 6, 70
3, 600, Note_on_c, 0, 80, 0
3, 600, Note_on_c, 0, 79, 53
3, 659, Control_c, 0, 6, 64
3, 660, Note_on_c, 0, 79, 0
3, 660, Note_on_c, 0, 77, 51
3, 690, Note_on_c, 0, 77, 0
3, 690, Note_on_c, 0, 75, 47
3, 719, Control_c, 0, 6, 70
3, 720, Note_on_c, 0, 75, 0
3, 720, Note_on_c, 0, 77, 55
3, 775, Note_on_c, 0, 77, 0
3, 780, Note_on_c, 0, 70, 47
3, 840, Note_on_c, 0, 70, 0
3, 900, Note_on_c, 0, 70, 51
3, 955, Note_on_c, 0, 70, 0
3, 959, Control_c, 0, 6, 64
3, 960, Note_on_c, 0, 80, 55
3, 990, Note_on_c, 0, 79, 53
3, 995, Note_on_c, 0, 80, 0
3, 1020, Note_on_c, 0, 77, 51
3, 1025, Note_on_c, 0, 79, 0
3, 1050, Note_on_c, 0, 75, 49
3, 1055, Note_on_c, 0, 77, 0
3, 1079, Control_c, 0, 6, 70
3, 1080, Note_on_c, 0, 74, 47
3, 1085, Note_on_c, 0, 75, 0
3, 1140, Note_on_c, 0, 74, 0
3, 1140, Note_on_c, 0, 80, 47
3, 1199, Control_c, 0, 6, 64
3, 1200, Note_on_c, 0, 80, 0
3, 1200, Note_on_c, 0, 79, 47
3, 1210, Note_on_c, 0, 80, 49
3, 1212, Note_on_c, 0, 79, 0
3, 1233, Note_on_c, 0, 79, 51
3, 1235, Note_on_c, 0, 80, 0
3, 1245, Note_on_c, 0, 79, 0
3, 1245, Note_on_c, 0, 77, 49
3, 1259, Control_c, 0, 6, 70
3, 1260, Note_on_c, 0, 79, 53
3, 1268, Note_on_c, 0, 77, 0
3, 1320, Note_on_c, 0, 79, 0
